,EntryTime,Yong,Yunseo
176,2019-08-11 0:00,-13201.36293,0
177,2019-08-12 7:30,223647.5978,0
178,2019-08-17 4:00,14883.55688,0
179,2019-08-21 16:30,-23023.7127,0
180,2019-08-24 2:15,-66240.79559,0
181,2019-08-24 20:45,-60224.43023,0
182,2019-08-26 3:45,-63208.58354,0
183,2019-08-26 12:00,-47377.05152,0
184,2019-08-27 22:15,101739.1871,0
185,2019-09-02 9:30,184632.1912,0
186,2019-09-04 22:15,25711.14531,0
187,2019-09-07 6:30,-29778.71438,0
188,2019-09-08 23:30,-16650.61973,0
189,2019-09-09 22:00,16090.95388,0
190,2019-09-13 1:30,-27207.42779,0
191,2019-09-19 14:45,-34951.68637,0
192,2019-09-20 2:30,-70950.18459,0
193,2019-09-20 7:45,-51852.19537,0
194,2019-09-21 23:00,271003.5269,0
195,2019-09-25 6:45,22251.92511,0
196,2019-09-29 8:00,-3286.641218,0
197,2019-10-01 2:15,-16342.90019,0
198,2019-10-04 1:45,26857.60703,0
199,2019-10-08 0:45,69495.92954,0
200,2019-10-11 14:30,-5329.338811,-2437.420432
201,2019-10-14 8:15,-32657.40173,0
202,2019-10-16 1:00,-95097.47109,0
203,2019-10-17 1:00,-44976.03961,0
204,2019-10-18 18:15,-56060.22753,0
205,2019-10-20 1:00,42106.61042,0
206,2019-10-24 1:15,-16355.51613,0
207,2019-10-26 4:45,35303.79274,0
208,2019-10-27 4:00,942.7917581,0
209,2019-10-30 9:15,-77741.49689,0
210,2019-10-31 20:15,-47277.71768,0
211,2019-11-03 0:30,-29377.5905,0
212,2019-11-05 7:45,-47856.05023,0
213,2019-11-08 20:30,33542.05198,0
214,2019-11-11 20:00,-3781.73762,0
215,2019-11-15 18:30,34803.6858,0
216,2019-11-19 6:15,-2977.214081,0
217,2019-11-21 3:45,124731.6547,0
218,2019-11-22 17:15,86945.66493,0
219,2019-11-26 1:30,-35864.81975,0
220,2019-11-28 4:45,8710.164554,0
221,2019-12-01 1:45,60212.46257,0
222,2019-12-05 1:15,-45746.90463,0
223,2019-12-05 9:45,-56386.72966,0
224,2019-12-05 23:00,6297.0916,0
225,2019-12-10 4:00,63051.54508,0
226,2019-12-15 3:00,-40293.25301,0
227,2019-12-15 17:00,152910.4506,0
228,2019-12-18 23:15,-66837.68902,0
229,2019-12-19 9:30,18986.86191,0
230,2019-12-24 2:45,-43458.70717,0
231,2019-12-25 5:00,-13520.52714,0
232,2019-12-27 5:00,4105.528499,0
233,2019-12-30 9:45,-29197.75881,0
234,2020-01-03 5:00,-32915.26105,0
235,2020-01-03 17:30,155516.566,0
236,2020-01-08 1:00,79719.28083,0
237,2020-01-09 2:15,-8616.937419,6275.91984
238,2020-01-12 9:45,177627.1938,0
239,2020-01-19 23:30,-18136.24288,0
240,2020-01-22 9:45,-37760.36681,0
241,2020-01-23 2:00,87032.02055,0
242,2020-01-24 21:15,-25967.19235,0
243,2020-01-27 4:45,238165.7894,0
244,2020-02-01 0:15,-52428.69732,0
245,2020-02-03 12:00,-3374.236175,0
246,2020-02-05 23:15,159975.8234,0
247,2020-02-10 17:15,-6590.154038,0
248,2020-02-12 4:00,4691.032252,0
249,2020-02-13 17:45,-28383.80657,0
250,2020-02-16 4:30,-860.984141,0
251,2020-02-19 7:15,-37258.67621,0
252,2020-02-20 10:30,-26225.5637,0
253,2020-02-23 16:45,-53759.10647,0
254,2020-02-24 15:15,270137.8476,0
255,2020-03-03 0:30,-24290.41936,0
256,2020-03-04 3:00,-51117.62016,0
257,2020-03-05 22:00,-28133.29484,0
258,2020-03-08 6:00,225844.7875,0
259,2020-03-10 20:45,359986.0225,0
260,2020-03-12 23:15,7615.697864,0
261,2020-03-13 22:45,5653.440352,0
262,2020-03-15 21:30,-43141.66819,0
263,2020-03-16 7:30,9661.068025,0
264,2020-03-17 13:45,-21903.97279,0
265,2020-03-18 20:30,-41801.16326,0
266,2020-03-19 1:30,-32880.81535,0
267,2020-03-19 23:45,47235.18789,0
268,2020-03-21 5:15,-30002.17511,0
269,2020-03-21 6:45,-20603.36145,0
270,2020-03-23 3:45,-26226.74752,0
271,2020-03-24 0:30,36052.54328,0
272,2020-03-28 13:45,-270.3660321,0
273,2020-03-30 18:15,-7873.763505,0
274,2020-04-01 23:45,-50086.56818,0
275,2020-04-02 10:45,3999.452726,0
276,2020-04-04 2:00,56065.8989,0
277,2020-04-08 6:45,-17446.44128,0
278,2020-04-09 22:00,-55672.32861,0
279,2020-04-10 17:30,-9666.462551,0
280,2020-04-13 3:45,-59039.48705,0
281,2020-04-13 12:30,-47542.80146,0
282,2020-04-15 3:00,-60487.14258,0
283,2020-04-15 23:30,-17068.03678,0
284,2020-04-16 19:45,20138.45377,0
285,2020-04-20 1:15,36391.92518,0
286,2020-04-23 2:15,134201.4764,0
287,2020-04-27 0:15,303424.4464,0
288,2020-04-30 19:15,3395.048939,0
289,2020-05-04 1:45,-28287.49179,0
290,2020-05-05 17:15,4792.596741,0
291,2020-05-07 9:15,89201.62671,0
292,2020-05-09 18:30,175779.1657,0
293,2020-05-10 13:00,-27508.78939,0
294,2020-05-11 22:00,-28477.59041,0
295,2020-05-14 1:30,45606.28456,0
